"Subject","Age","Sex","total_digit_span","letter_number","numeracy","pa_delay","shipley","Age_Grp"
"DND005",24,"F",20,20,11,8,37,"YA"
"DND007",27,"F",18,21,12,8,32,"YA"
"DND011",20,"F",20,20,10,8,26,"YA"
"DND014",29,"F",24,20,11,7,37,"YA"
"DND016",21,"F",17,19,12,6,35,"YA"
"DND018",26,"M",19,21,14,8,38,"YA"
"DND022",54,"F",22,20,13,7,39,"MA"
"DND023",27,"M",17,15,13,8,29,"YA"
"DND027",26,"M",17,14,13,8,29,"YA"
"DND031",26,"M",17,22,14,8,32,"YA"
"DND032",57,"F",19,22,12,4,32,"MA"
"DND037",28,"F",27,25,13,8,37,"YA"
"DND039",25,"M",25,24,13,6,32,"YA"
"DND040",25,"M",27,25,14,8,35,"YA"
"DND041",29,"M",22,20,14,8,39,"YA"
"DND042",27,"M",18,24,13,7,35,"YA"
"DND048",29,"F",18,21,11,2,33,"YA"
"DND050",27,"F",15,19,14,8,34,"YA"
"DND052",52,"M",24,23,13,6,37,"MA"
"DND060",57,"M",23,20,33,8,11,"MA"
"DND062",23,"M",29,24,15,8,34,"YA"
"DND069",29,"M",19,22,14,8,34,"YA"
"DND072",26,"M",26,22,13,7,35,"YA"
"DND074",24,"F",22,26,9,8,34,"YA"
"DND077",23,"F",19,24,12,8,33,"YA"
"DND078",53,"F",20,21,13,8,37,"MA"
"DND080",56,"M",27,24,12,8,37,"MA"
"DND084",23,"F",17,20,11,8,29,"YA"
"DND087",57,"F",26,22,14,7,38,"MA"
"DND088",55,"F",17,17,11,4,31,"MA"
"DND089",57,"F",19,20,13,8,39,"MA"
"DND090",29,"M",19,21,12,3,27,"YA"
"DND091",51,"F",16,15,10,6,37,"MA"
"DND093",54,"M",14,21,12,8,35,"MA"
"DND097",53,"F",24,22,13,3,34,"MA"
"DND099",57,"M",21,21,13,4,32,"MA"
"DND100",59,"M",24,20,31,3,13,"MA"
"DND105",50,"F",27,25,13,7,37,"MA"
"DND110",50,"M",18,20,12,8,34,"MA"
"DND113",61,"M",20,21,10,3,35,"MA"
"DND114",65,"F",20,17,10,2,33,"MA"
"DND115",58,"M",27,21,13,7,39,"MA"
"DND119",57,"M",29,23,36,8,12,"MA"
