"Subject","Sex","Age","DigitSpanTotal","LetterNumSeq","Numeracy","paDelayedRecall","ShipleyRaw"
1,"M",27,NA,NA,NA,NA,NA
3,"F",23,20,11,14,8,37
5,"M",22,18,15,15,8,31
7,"M",32,22,18,13,8,31
8,"F",22,22,16,11,8,24
9,"M",34,13,9,14,8,34
12,"F",46,14,10,10,8,32
13,"M",58,11,9,10,1,26
15,"F",35,16,12,10,8,32
16,"F",80,11,9,9,8,33
19,"F",48,16,12,14,8,32
20,"M",34,13,8,14,8,36
21,"F",54,13,11,8,4,8
25,"M",42,19,12,13,2,34
27,"M",62,17,13,9,5,39
28,"F",43,14,12,12,6,37
31,"M",40,21,16,13,8,35
34,"F",46,17,11,13,8,35
35,"F",57,16,11,11,8,35
36,"F",43,13,6,33,5,11
38,"F",46,17,12,12,6,31
41,"M",42,10,9,7,7,31
44,"M",48,16,10,13,8,37
45,"M",40,16,11,13,8,38
47,"F",26,26,17,13,8,37
48,"F",40,14,12,10,7,28
53,"F",27,22,17,14,8,40
61,"F",23,16,11,14,8,34
62,"F",32,18,11,11,7,28
64,"M",22,18,12,12,8,35
65,"F",77,14,7,12,2,37
66,"F",26,11,8,8,8,25
67,"M",28,13,9,12,8,34
68,"M",26,26,17,13,8,38
71,"F",55,15,15,13,7,34
73,"M",30,23,14,13,8,34
75,"F",26,12,11,11,7,44
77,"M",81,22,5,7,6,38
81,"F",67,11,12,9,6,33
82,"M",34,18,12,13,6,33
86,"F",73,18,12,10,4,33
88,"F",65,19,13,13,6,38
90,"M",50,21,11,14,8,35
92,"F",36,11,12,13,8,33
93,"F",66,11,11,12,3,34
96,"F",55,18,11,11,2,33
97,"F",53,19,12,14,5,38
100,"F",62,16,10,10,8,36
101,"F",78,14,10,13,5,39
103,"F",63,12,8,12,4,40
106,"F",65,17,12,12,8,39
107,"M",75,10,4,12,0,36
111,"F",61,22,12,12,NA,39
115,"M",59,11,7,14,1,37
116,"M",62,17,10,13,2,34
119,"F",59,17,10,8,NA,36
120,"F",57,21,9,8,5,30
123,"F",57,21,11,12,8,39
124,"F",65,13,10,10,3,38
128,"M",32,13,12,14,7,36
129,"F",32,16,17,12,8,35
131,"M",52,10,11,8,1,31
134,"F",71,13,7,9,6,35
136,"F",70,16,9,14,5,35
139,"M",44,11,9,12,6,36
140,"F",32,24,17,13,NA,36
141,"M",72,16,12,13,2,37
142,"M",74,17,12,13,6,39
145,"M",60,24,13,13,3,37
146,"M",23,19,16,11,8,31
147,"F",48,17,14,12,6,29
149,"M",37,15,10,11,7,33
150,"M",50,11,13,14,4,32
151,"F",33,16,13,12,6,27
152,"F",26,20,16,14,7,32
153,"F",37,14,11,10,NA,31
157,"M",60,16,10,13,7,34
158,"F",83,18,5,6,3,36
161,"M",71,16,11,12,4,38
162,"M",65,14,9,12,4,36
165,"M",77,12,8,8,3,23
166,"F",76,10,8,11,1,31
167,"F",64,15,8,3,3,32
168,"M",58,13,11,11,7,35
