"Parameter","Superior temporal gyrus anterior part","Anterior temporal lobe lateral part","Middle and inferior temporal gyrus","Posterior temporal lobe","Superior temporal gyrus posterior part"
"StudySV","-0.49 [ -0.66 , -0.32 ]","-0.3 [ -0.47 , -0.13 ]","-0.31 [ -0.46 , -0.15 ]","-0.25 [ -0.37 , -0.14 ]","-0.35 [ -0.48 , -0.22 ]"
"SexM","0.0088 [ -0.15 , 0.17 ]","0.045 [ -0.12 , 0.21 ]","-0.015 [ -0.17 , 0.14 ]","-0.0016 [ -0.12 , 0.11 ]","-0.091 [ -0.22 , 0.034 ]"
"R2 ","0.194***","0.08**","0.091***","0.111***","0.179***"
"StudySV","-0.39 [ -0.55 , -0.24 ]","-0.2 [ -0.35 , -0.051 ]","-0.23 [ -0.38 , -0.084 ]","-0.21 [ -0.33 , -0.098 ]","-0.29 [ -0.41 , -0.17 ]"
"SexM","-0.0084 [ -0.15 , 0.14 ]","0.027 [ -0.11 , 0.17 ]","-0.028 [ -0.17 , 0.11 ]","-0.0087 [ -0.12 , 0.1 ]","-0.1 [ -0.21 , 0.015 ]"
"Age","-0.012 [ -0.017 , -0.0081 ]","-0.013 [ -0.017 , -0.0089 ]","-0.0096 [ -0.014 , -0.0055 ]","-0.0051 [ -0.0084 , -0.0019 ]","-0.0086 [ -0.012 , -0.0053 ]"
"R2 change ","0.163***","0.209***","0.128***","0.063**","0.137***"
"StudySV","-0.41 [ -0.56 , -0.26 ]","-0.22 [ -0.36 , -0.072 ]","-0.25 [ -0.39 , -0.11 ]","-0.23 [ -0.34 , -0.12 ]","-0.3 [ -0.42 , -0.18 ]"
"SexM","-0.00057 [ -0.14 , 0.14 ]","0.034 [ -0.1 , 0.17 ]","-0.021 [ -0.15 , 0.11 ]","-0.0038 [ -0.11 , 0.1 ]","-0.092 [ -0.2 , 0.018 ]"
"Age","-0.048 [ -0.074 , -0.023 ]","-0.049 [ -0.074 , -0.025 ]","-0.055 [ -0.079 , -0.032 ]","-0.037 [ -0.056 , -0.018 ]","-0.043 [ -0.062 , -0.023 ]"
"Age2","0.00038 [ 0.00012 , 0.00064 ]","0.00038 [ 0.00013 , 0.00064 ]","0.00048 [ 0.00024 , 0.00073 ]","0.00034 [ 0.00014 , 0.00053 ]","0.00036 [ 0.00016 , 0.00056 ]"
"R2 change","0.039**","0.046**","0.082***","0.07***","0.06***"
