"Parameter","Anterior orbital gyrus","Cingulate gyrus anterior part","Gyrus cinguli posterior part","Inferiolateral remainder of parietal lobe","Inferior frontal gyrus","Lateral orbital gyrus","Middle frontal gyrus","Postcentral gyrus","Precentral gyrus","Superior frontal gyrus","Superior parietal gyrus"
"47","47","46","47","46","46","45","44","40","40","43","42"
"SexM","0.015 [ -0.21 , 0.24 ]","0.016 [ -0.11 , 0.14 ]","0.075 [ -0.1 , 0.25 ]","-0.033 [ -0.28 , 0.22 ]","0.023 [ -0.18 , 0.23 ]","-0.064 [ -0.34 , 0.21 ]","-0.033 [ -0.27 , 0.2 ]","0.085 [ -0.22 , 0.38 ]","0.054 [ -0.14 , 0.24 ]","0.093 [ -0.071 , 0.26 ]","-0.043 [ -0.29 , 0.2 ]"
"R2 ","-0.022","-0.021","-0.006","-0.021","-0.022","-0.018","-0.022","-0.018","-0.018","0.007","-0.022"
"SexM","0.014 [ -0.17 , 0.2 ]","0.025 [ -0.087 , 0.14 ]","0.073 [ -0.09 , 0.24 ]","-0.044 [ -0.27 , 0.18 ]","0.03 [ -0.13 , 0.19 ]","-0.074 [ -0.3 , 0.15 ]","-0.0045 [ -0.19 , 0.18 ]","0.098 [ -0.15 , 0.35 ]","0.063 [ -0.12 , 0.25 ]","0.088 [ -0.05 , 0.23 ]","-0.012 [ -0.24 , 0.22 ]"
"Age","-0.014 [ -0.02 , -0.0077 ]","-0.0056 [ -0.0092 , -0.0019 ]","-0.0078 [ -0.013 , -0.0024 ]","-0.013 [ -0.02 , -0.0056 ]","-0.014 [ -0.019 , -0.0086 ]","-0.018 [ -0.025 , -0.01 ]","-0.015 [ -0.021 , -0.0094 ]","-0.017 [ -0.025 , -0.0089 ]","-0.0057 [ -0.012 , 0.00046 ]","-0.0092 [ -0.014 , -0.0047 ]","-0.0096 [ -0.017 , -0.0021 ]"
"R2 change ","0.324***","0.18**","0.161**","0.228***","0.401***","0.358***","0.396***","0.328***","0.086","0.292***","0.145*"
"SexM","0.014 [ -0.17 , 0.2 ]","0.026 [ -0.088 , 0.14 ]","0.072 [ -0.09 , 0.23 ]","-0.045 [ -0.27 , 0.18 ]","0.031 [ -0.13 , 0.19 ]","-0.076 [ -0.3 , 0.15 ]","-0.004 [ -0.19 , 0.18 ]","0.096 [ -0.16 , 0.35 ]","0.057 [ -0.13 , 0.24 ]","0.089 [ -0.052 , 0.23 ]","-0.012 [ -0.25 , 0.22 ]"
"Age","-0.018 [ -0.095 , 0.058 ]","0.00055 [ -0.046 , 0.047 ]","0.034 [ -0.033 , 0.1 ]","-0.021 [ -0.11 , 0.072 ]","4e-04 [ -0.066 , 0.066 ]","-0.0077 [ -0.1 , 0.086 ]","-0.01 [ -0.085 , 0.065 ]","-0.037 [ -0.14 , 0.061 ]","0.017 [ -0.059 , 0.093 ]","-0.0051 [ -0.061 , 0.051 ]","-0.013 [ -0.11 , 0.082 ]"
"Age2","5.8e-05 [ -0.00087 , 0.00099 ]","-7.4e-05 [ -0.00064 , 0.00049 ]","-5e-04 [ -0.0013 , 0.00031 ]","9.4e-05 [ -0.001 , 0.0012 ]","-0.00017 [ -0.00097 , 0.00063 ]","-0.00012 [ -0.0013 , 0.001 ]","-6.2e-05 [ -0.00097 , 0.00085 ]","0.00024 [ -0.00095 , 0.0014 ]","-0.00028 [ -0.0012 , 0.00065 ]","-5e-05 [ -0.00073 , 0.00063 ]","3.5e-05 [ -0.0011 , 0.0012 ]"
"R2 change","0","0.001","0.029","0.001","0.003","0.001","0","0.003","0.009","0","0"
